track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist,genre
Banking On Me,['Gunna'],['2hlmm7s2ICUX0LVIhVFlZQ'],78,['2hlmm7s2ICUX0LVIhVFlZQ'],7Fege3yv4dvehB3NdRBGwI,2022-02-14,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,audio_features,7Fege3yv4dvehB3NdRBGwI,200000,4,3989983,92,1,hiphop
AHHH HA,['Lil Durk'],['3hcs9uc56yIGFCSy9leWe7'],0,['3hcs9uc56yIGFCSy9leWe7'],54VFhe501kUbDYj2OrueMp,2022-02-22,0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005,audio_features,54VFhe501kUbDYj2OrueMp,186538,4,3641295,88,1,hiphop
Rumors (feat. Lil Durk),"['Gucci Mane', 'Lil Durk']","['13y7CgLHjMVRMDqxdx0Xdo', '3hcs9uc56yIGFCSy9leWe7']",81,"['13y7CgLHjMVRMDqxdx0Xdo', '3hcs9uc56yIGFCSy9leWe7']",0P2P1AxcRYhiZvoF5MyRmM,2022-01-25,0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897,audio_features,0P2P1AxcRYhiZvoF5MyRmM,185856,4,7830794,170,2,hiphop
Go Hard 2.0,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],77,['4MCBfE4596Uoi2O4DtmEMz'],1wSAAx6UHuQurUBHGM95og,2021-12-10,0.626,0.463,7,-7.559,0,0.122,0.62,6.89e-06,0.177,0.0743,144.986,audio_features,1wSAAx6UHuQurUBHGM95og,214728,4,22508685,95,1,hiphop
Scared Money (feat. J. Cole and Moneybagg Yo),"['YG', 'J. Cole', 'Moneybagg Yo']","['0A0FS04o6zMoto8OKPsDwY', '6l3HvQ5sa6mXTsMTB19rO5', '3tJoFztHeIJkJWMrx0td2f']",79,"['0A0FS04o6zMoto8OKPsDwY', '6l3HvQ5sa6mXTsMTB19rO5', '3tJoFztHeIJkJWMrx0td2f']",4heBcjj4Lw3X2sQVFNbLbz,2022-02-04,0.898,0.58,8,-7.632,0,0.26,0.0101,0,0.169,0.661,84.018,audio_features,4heBcjj4Lw3X2sQVFNbLbz,204286,4,21365730,253,3,hiphop
LLC (feat. Moneybagg Yo),"['Money Man', 'Moneybagg Yo']","['3Rx4PJ7SP6unkOk5elPUK7', '3tJoFztHeIJkJWMrx0td2f']",77,"['3Rx4PJ7SP6unkOk5elPUK7', '3tJoFztHeIJkJWMrx0td2f']",15OlC497ScJt9N2BS8lOev,2021-11-12,0.803,0.495,11,-5.724,1,0.321,0.121,0,0.104,0.628,80.972,audio_features,15OlC497ScJt9N2BS8lOev,195154,4,3085136,157,2,hiphop
Let's Get It (Remix) [feat. 21 Savage],"['Hunxho', '21 Savage']","['508weSx4HBumrGggFmc7br', '1URnnhqYAYcrqrcwql10ft']",62,"['508weSx4HBumrGggFmc7br', '1URnnhqYAYcrqrcwql10ft']",1NVp7VnSVUJalgIBCIkh0w,2022-02-18,0.863,0.499,7,-8.602,0,0.514,0.0758,0,0.104,0.76,80.073,audio_features,1NVp7VnSVUJalgIBCIkh0w,156996,4,10826304,142,2,hiphop
Worst Day,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],80,['1RyvyyTE3xzB2ZywiAwp0i'],70pwY1UfPmSVE3ybPjFy0p,2022-02-11,0.646,0.597,1,-6.045,1,0.401,0.11,0,0.0958,0.6,88.506,audio_features,70pwY1UfPmSVE3ybPjFy0p,184893,4,11175215,92,1,hiphop
Today (feat. Gunna),"['Cordae', 'Gunna']","['0huGjMyP507tBCARyzSkrv', '2hlmm7s2ICUX0LVIhVFlZQ']",78,"['0huGjMyP507tBCARyzSkrv', '2hlmm7s2ICUX0LVIhVFlZQ']",7z3rc7SCgjbAztt1cbXkVj,2022-01-14,0.841,0.433,0,-7.699,0,0.175,0.0344,2.13e-06,0.121,0.332,115.868,audio_features,7z3rc7SCgjbAztt1cbXkVj,182069,4,5693533,169,2,hiphop
Don't Play That,"['King Von', '21 Savage']","['6QtgPSJPSzcnn7dPZ4VINp', '1URnnhqYAYcrqrcwql10ft']",83,"['6QtgPSJPSzcnn7dPZ4VINp', '1URnnhqYAYcrqrcwql10ft']",6BczFLHW9aIf9aWn5NFuNL,2022-02-04,0.947,0.605,10,-8.621,0,0.346,0.0748,7.54e-06,0.0901,0.656,129.988,audio_features,6BczFLHW9aIf9aWn5NFuNL,133613,4,12527133,169,2,hiphop
